Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3748223603.633,50.1305103302002,5200.05078125,-0.170337211819537,3.42657994936326E-5
3748223614.6295,50.1307792663574,5250.1591796875,-0.16974320411521,3.84859260950088E-5
3748223625.6645,50.1306591033936,5300.16625976562,-0.16956885014143,5.71096504961533E-5
3748223636.6435,50.1301956176758,5350.03491210937,-0.168693275838493,3.86988724201529E-5
3748223661.194,50.1297264099121,5399.998046875,,
3748223671.944,50.1269664764404,5399.99584960937,-0.16149807747611,5.76491078582119E-5
3748223682.565,50.1300277709961,5450.11596679687,-0.16736554067475,6.60029479953105E-5
3748223693.5235,50.1318016052246,5500.20141601562,-0.166760672836881,4.23014960987511E-5
3748223704.595,50.1317844390869,5549.99169921875,-0.166126695692463,3.34394824312816E-5
3748223715.5685,50.1322498321533,5600.16015625,-0.165775709832216,6.19754561236784E-5
3748223726.5775,50.1311321258545,5650.00830078125,-0.16496119279972,2.11958121881969E-5
3748223737.5595,50.1313457489014,5700.2685546875,-0.165003139279063,5.39969258583354E-5
3748223748.522,50.1297283172607,5749.94384765625,-0.164026772166482,3.37769052722902E-5
3748223759.492,50.130880355835,5800.29418945313,-0.164340360091773,5.81583830296787E-5
3748223771.522,50.1337966918945,5849.95556640625,-0.162778359999127,2.30145496577435E-5
3748223782.527,50.1321353912354,5900.13305664062,-0.162876507302994,5.60035014869323E-5
3748223793.5745,50.1294937133789,5949.99291992188,-0.161809388025172,2.82816058071819E-5
3748223805.5055,50.1289215087891,6000.06176757812,-0.161101168615415,4.25356197232498E-5
3748223816.445,50.1286754608154,6050.0205078125,-0.161239306216948,3.36574566532463E-5
3748223827.462,50.1270999908447,6099.9931640625,-0.160792766216117,2.57320482013719E-5
3748223838.4335,50.1274585723877,6149.93579101562,-0.160403260840635,2.03454283923771E-5
3748223849.4725,50.1274757385254,6199.95166015625,-0.159852161933801,4.50439593915878E-5
3748223860.4565,50.1268539428711,6250.0302734375,-0.15949219965904,3.19158629263053E-5
3748223871.4525,50.1262264251709,6300.20336914062,-0.15954807330962,3.89502027096116E-5
3748223882.421,50.1258087158203,6350.2216796875,-0.158986210991876,4.16481237871294E-5
3748223893.4195,50.1249408721924,6400.01708984375,-0.158120800452363,3.34456888692574E-5
3748223904.3485,50.1254730224609,6450.04956054687,-0.158106579230232,2.73389099632078E-5
3748223915.4005,50.1257667541504,6500.18115234375,-0.157933842810322,4.18977346905646E-5
3748223926.366,50.1253604888916,6550.00805664062,-0.156615854437584,3.06946365994512E-5
3748223938.348,50.1243362426758,6600.09790039063,-0.156424233276932,2.34914144597676E-5
3748223949.367,50.1248226165771,6650.20190429688,-0.156498669637926,3.9182358386274E-5
3748223960.321,50.1247081756592,6700.19091796875,-0.155899601842909,4.38516115363435E-5
3748223971.3245,50.1248512268066,6749.94409179688,-0.155635943918676,2.73462680597676E-5
3748223982.2805,50.1245346069336,6799.9599609375,-0.154643486174185,3.31406454397334E-5
3748223993.3365,50.1246547698975,6850.08959960937,-0.15481434461006,2.8936581465347E-5
3748224004.376,50.1239070892334,6899.974609375,-0.154237945026969,2.02217238979963E-5
3748224015.3465,50.1230716705322,6950.23681640625,-0.154123783527075,4.07771064864673E-5
3748224026.3365,50.1231136322022,7000.07153320312,-0.15372909182628,2.5657591356495E-5
3748224037.325,50.1233825683594,7050.15185546875,-0.153230129603483,2.69480313774935E-5
3748224048.2915,50.1226711273193,7100.20971679688,-0.153102425772389,3.90945713685627E-5
3748224059.3465,50.1232509613037,7149.99365234375,-0.152317570257537,2.12122632512405E-5
3748224070.289,50.1238594055176,7199.998046875,-0.152182668692332,2.94942639698151E-5
3748224081.315,50.1225929260254,7250.21704101562,-0.151887771662822,2.80037797912597E-5
3748224092.257,50.122163772583,7299.9892578125,-0.151066111487589,2.62146861336036E-5
3748224104.215,50.1217079162598,7349.9755859375,-0.150373065690048,2.3473587577512E-5
3748224115.34,50.1215534210205,7400.0380859375,-0.151010150626491,2.75871039872289E-5
3748224126.2785,50.1214447021484,7450.18310546875,-0.150518234021391,3.15778357031157E-5
3748224137.226,50.1216297149658,7500.134765625,-0.150456911303158,3.67282634824395E-5
3748224147.2395,50.1212558746338,7550.05419921875,-0.149887408944046,7.0803223046215E-5
3748224158.236,50.1221981048584,7600.04736328125,-0.149506755889734,4.19501231634925E-5
3748224169.1715,50.1219882965088,7650.23657226563,-0.149089817029463,4.19914637692025E-5
3748224180.1895,50.1216487884521,7700.00415039063,-0.148455960611933,2.87717235637317E-5
3748224190.238,50.1213493347168,7750.08520507812,-0.148986714419404,5.81043790032495E-5
3748224201.1345,50.1208305358887,7800.00903320312,-0.148161161384538,3.75357667235599E-5
3748224212.143,50.1212787628174,7850.19580078125,-0.147985948323187,3.56187813917386E-5
